# UCA Version: 3.1.1d6/3.2.0
# Generated:   2002-07-02,18:49:23 GMT [MD]
0009 0021;	0009
E0064 0021;	E0064
E0065 0021;	E0065
E0066 0021;	E0066
E0067 0021;	E0067
E0068 0021;	E0068
E0069 0021;	E0069
E006A 0021;	E006A
E006B 0021;	E006B
E006C 0021;	E006C
E006D 0021;	E006D
E006E 0021;	E006E
E006F 0021;	E006F
E0070 0021;	E0070
E0071 0021;	E0071
E0072 0021;	E0072
E0073 0021;	E0073
E0074 0021;	E0074
E0075 0021;	E0075
E0076 0021;	E0076
E0077 0021;	E0077
E0078 0021;	E0078
E0079 0021;	E0079
E007A 0021;	E007A
E007B 0021;	E007B
E007C 0021;	E007C
E007D 0021;	E007D
E007E 0021;	E007E
E007F 0021;	E007F
EFFFE 0021;	EFFFE
EFFFF 0021;	EFFFF
10FFFE 0021;	10FFFE
10FFFF 0021;	10FFFF
0021 0021;	0021
FE57 0021;	FE57
FF01 0021;	FF01
203C 0021;	203C
2049 0021;	2049
00A1 0021;	00A1
055C 0021;	055C
003F 0021;	003F
FE56 0021;	FE56
FF1F 0021;	FF1F
2048 0021;	2048
00BF 0021;	00BF
055E 0021;	055E
061F 0021;	061F
0709 0021;	0709
1367 0021;	1367
203D 0021;	203D
002E 0021;	002E
2024 0021;	2024
FE52 0021;	FE52
FF0E 0021;	FF0E
2025 0021;	2025
FE30 0021;	FE30
2026 0021;	2026
1801 0021;	1801
06D4 0021;	06D4
0701 0021;	0701
0702 0021;	0702
1362 0021;	1362
1803 0021;	1803
1809 0021;	1809
166E 0021;	166E
3002 0021;	3002
FF61 0021;	FF61
00B7 0021;	00B7
0387 0021;	0387
0964 0021;	0964
0965 0021;	0965
104A 0021;	104A
104B 0021;	104B
17D4 0021;	17D4
17D5 0021;	17D5
0700 0021;	0700
10FB 0021;	10FB
1368 0021;	1368
0027 0021;	0027
FF07 0021;	FF07
2018 0021;	2018
2019 0021;	2019
201A 0021;	201A
201B 0021;	201B
2039 0021;	2039
203A 0021;	203A
0022 0021;	0022
FF02 0021;	FF02
201C 0021;	201C
201D 0021;	201D
201E 0021;	201E
201F 0021;	201F
301D 0021;	301D
301E 0021;	301E
301F 0021;	301F
00AB 0021;	00AB
00BB 0021;	00BB
0028 0021;	0028
207D 0021;	207D
208D 0021;	208D
FE35 0021;	FE35
FE59 0021;	FE59
FF08 0021;	FF08
0029 0021;	0029
207E 0021;	207E
208E 0021;	208E
FE36 0021;	FE36
FE5A 0021;	FE5A
FF09 0021;	FF09
005B 0021;	005B
FF3B 0021;	FF3B
005D 0021;	005D
FF3D 0021;	FF3D
007B 0021;	007B
FE37 0021;	FE37
FE5B 0021;	FE5B
FF5B 0021;	FF5B
007D 0021;	007D
FE38 0021;	FE38
FE5C 0021;	FE5C
FF5D 0021;	FF5D
0F3A 0021;	0F3A
0F3B 0021;	0F3B
0F3C 0021;	0F3C
0F3D 0021;	0F3D
169B 0021;	169B
169C 0021;	169C
2045 0021;	2045
2046 0021;	2046
2329 0021;	2329
3008 0021;	3008
FE3F 0021;	FE3F
232A 0021;	232A
3009 0021;	3009
FE40 0021;	FE40
300A 0021;	300A
FE3D 0021;	FE3D
300B 0021;	300B
FE3E 0021;	FE3E
300C 0021;	300C
FE41 0021;	FE41
FF62 0021;	FF62
300D 0021;	300D
FE42 0021;	FE42
FF63 0021;	FF63
300E 0021;	300E
FE43 0021;	FE43
300F 0021;	300F
FE44 0021;	FE44
3010 0021;	3010
FE3B 0021;	FE3B
3011 0021;	3011
FE3C 0021;	FE3C
3014 0021;	3014
FE39 0021;	FE39
FE5D 0021;	FE5D
3015 0021;	3015
FE3A 0021;	FE3A
FE5E 0021;	FE5E
3016 0021;	3016
3017 0021;	3017
3018 0021;	3018
3019 0021;	3019
301A 0021;	301A
301B 0021;	301B
FD3E 0021;	FD3E
FD3F 0021;	FD3F
00A7 0021;	00A7
00B6 0021;	00B6
204B 0021;	204B
00A9 0021;	00A9
00AE 0021;	00AE
0040 0021;	0040
FE6B 0021;	FE6B
FF20 0021;	FF20
002A 0021;	002A
FE61 0021;	FE61
FF0A 0021;	FF0A
066D 0021;	066D
002F 0021;	002F
FF0F 0021;	FF0F
2044 0021;	2044
005C 0021;	005C
FE68 0021;	FE68
FF3C 0021;	FF3C
0026 0021;	0026
FE60 0021;	FE60
FF06 0021;	FF06
204A 0021;	204A
0023 0021;	0023
FE5F 0021;	FE5F
FF03 0021;	FF03
0025 0021;	0025
FE6A 0021;	FE6A
FF05 0021;	FF05
066A 0021;	066A
2030 0021;	2030
2031 0021;	2031
2020 0021;	2020
2021 0021;	2021
2022 0021;	2022
2023 0021;	2023
2027 0021;	2027
2043 0021;	2043
204C 0021;	204C
204D 0021;	204D
2032 0021;	2032
2033 0021;	2033
2034 0021;	2034
2035 0021;	2035
2036 0021;	2036
2037 0021;	2037
3003 0021;	3003
2038 0021;	2038
203B 0021;	203B
203F 0021;	203F
2040 0021;	2040
2041 0021;	2041
2042 0021;	2042
055A 0021;	055A
055B 0021;	055B
055F 0021;	055F
05BE 0021;	05BE
05C0 0021;	05C0
05C3 0021;	05C3
05F3 0021;	05F3
05F4 0021;	05F4
070A 0021;	070A
070B 0021;	070B
070C 0021;	070C
070D 0021;	070D
1800 0021;	1800
180A 0021;	180A
0970 0021;	0970
0DF4 0021;	0DF4
0E5A 0021;	0E5A
0E5B 0021;	0E5B
0F04 0021;	0F04
0F05 0021;	0F05
0F06 0021;	0F06
0F07 0021;	0F07
0F08 0021;	0F08
0F09 0021;	0F09
0F0A 0021;	0F0A
0F0B 0021;	0F0B
0F0C 0021;	0F0C
0F0D 0021;	0F0D
0F0E 0021;	0F0E
0F0F 0021;	0F0F
0F10 0021;	0F10
0F11 0021;	0F11
0F12 0021;	0F12
0F85 0021;	0F85
104C 0021;	104C
104D 0021;	104D
104E 0021;	104E
104F 0021;	104F
17D7 0021;	17D7
17D8 0021;	17D8
17D9 0021;	17D9
17DA 0021;	17DA
17DC 0021;	17DC
02B9 0021;	02B9
0374 0021;	0374
0375 0021;	0375
02BA 0021;	02BA
02C2 0021;	02C2
02C3 0021;	02C3
02C4 0021;	02C4
02C5 0021;	02C5
02C6 0021;	02C6
02C7 0021;	02C7
02C8 0021;	02C8
02C9 0021;	02C9
02CA 0021;	02CA
02CB 0021;	02CB
02CC 0021;	02CC
02CD 0021;	02CD
02CE 0021;	02CE
02CF 0021;	02CF
02D2 0021;	02D2
02D3 0021;	02D3
02D4 0021;	02D4
02D5 0021;	02D5
02D6 0021;	02D6
02D7 0021;	02D7
02DE 0021;	02DE
02E5 0021;	02E5
02E6 0021;	02E6
02E7 0021;	02E7
02E8 0021;	02E8
02E9 0021;	02E9
02EA 0021;	02EA
02EB 0021;	02EB
02EC 0021;	02EC
02ED 0021;	02ED
00B0 0021;	00B0
0482 0021;	0482
06E9 0021;	06E9
09FA 0021;	09FA
0B70 0021;	0B70
0E4F 0021;	0E4F
0F01 0021;	0F01
0F02 0021;	0F02
0F03 0021;	0F03
0F13 0021;	0F13
0F15 0021;	0F15
0F16 0021;	0F16
0F17 0021;	0F17
0F1A 0021;	0F1A
0F1B 0021;	0F1B
0F1C 0021;	0F1C
0F1D 0021;	0F1D
0F1E 0021;	0F1E
0F1F 0021;	0F1F
0F34 0021;	0F34
0F36 0021;	0F36
0F38 0021;	0F38
0F3E 0021;	0F3E
0F3F 0021;	0F3F
0FBE 0021;	0FBE
0FBF 0021;	0FBF
0FC0 0021;	0FC0
0FC1 0021;	0FC1
0FC2 0021;	0FC2
0FC3 0021;	0FC3
0FC4 0021;	0FC4
0FC5 0021;	0FC5
0FC7 0021;	0FC7
0FC8 0021;	0FC8
0FC9 0021;	0FC9
0FCA 0021;	0FCA
0FCB 0021;	0FCB
0FCC 0021;	0FCC
0FCF 0021;	0FCF
166D 0021;	166D
2190 0338 0334;	2190 0338
219A 0334;	219A
2190 0021;	2190
219A 0021;	219A
FFE9 0021;	FFE9
2192 0338 0334;	2192 0338
219B 0334;	219B
2192 0021;	2192
219B 0021;	219B
FFEB 0021;	FFEB
2191 0021;	2191
FFEA 0021;	FFEA
2193 0021;	2193
FFEC 0021;	FFEC
2194 0338 0334;	2194 0338
21AE 0334;	21AE
2194 0021;	2194
21AE 0021;	21AE
2195 0021;	2195
2196 0021;	2196
2197 0021;	2197
2198 0021;	2198
2199 0021;	2199
219C 0021;	219C
219D 0021;	219D
219E 0021;	219E
219F 0021;	219F
21A0 0021;	21A0
21A1 0021;	21A1
21A2 0021;	21A2
21A3 0021;	21A3
21A4 0021;	21A4
21A5 0021;	21A5
21A6 0021;	21A6
21A7 0021;	21A7
21A8 0021;	21A8
21A9 0021;	21A9
21AA 0021;	21AA
21AB 0021;	21AB
21AC 0021;	21AC
21AD 0021;	21AD
21AF 0021;	21AF
21B0 0021;	21B0
21B1 0021;	21B1
21B2 0021;	21B2
21B3 0021;	21B3
21B4 0021;	21B4
21B5 0021;	21B5
21B6 0021;	21B6
21B7 0021;	21B7
21B8 0021;	21B8
21B9 0021;	21B9
21BA 0021;	21BA
21BB 0021;	21BB
21BC 0021;	21BC
21BD 0021;	21BD
21BE 0021;	21BE
21BF 0021;	21BF
21C0 0021;	21C0
21C1 0021;	21C1
21C2 0021;	21C2
21C3 0021;	21C3
21C4 0021;	21C4
21C5 0021;	21C5
21C6 0021;	21C6
21C7 0021;	21C7
21C8 0021;	21C8
21C9 0021;	21C9
21CA 0021;	21CA
21CB 0021;	21CB
21CC 0021;	21CC
21CD 0334;	21CD
21D0 0338 0334;	21D0 0338
21CD 0021;	21CD
21D0 0021;	21D0
21D1 0021;	21D1
21CF 0334;	21CF
21D2 0338 0334;	21D2 0338
21CF 0021;	21CF
21D2 0021;	21D2
21D3 0021;	21D3
21CE 0334;	21CE
21D4 0338 0334;	21D4 0338
21CE 0021;	21CE
21D4 0021;	21D4
21D5 0021;	21D5
21D6 0021;	21D6
21D7 0021;	21D7
21D8 0021;	21D8
21D9 0021;	21D9
21DA 0021;	21DA
21DB 0021;	21DB
21DC 0021;	21DC
21DD 0021;	21DD
21DE 0021;	21DE
21DF 0021;	21DF
21E0 0021;	21E0
21E1 0021;	21E1
21E2 0021;	21E2
21E3 0021;	21E3
21E4 0021;	21E4
21E5 0021;	21E5
21E6 0021;	21E6
21E7 0021;	21E7
21E8 0021;	21E8
21E9 0021;	21E9
21EA 0021;	21EA
21EB 0021;	21EB
21EC 0021;	21EC
21ED 0021;	21ED
21EE 0021;	21EE
21EF 0021;	21EF
21F0 0021;	21F0
21F1 0021;	21F1
21F2 0021;	21F2
21F3 0021;	21F3
2200 0021;	2200
2201 0021;	2201
2202 0021;	2202
1D6DB 0021;	1D6DB
1D715 0021;	1D715
1D74F 0021;	1D74F
1D789 0021;	1D789
1D7C3 0021;	1D7C3
2203 0338 0334;	2203 0338
2204 0334;	2204
2203 0021;	2203
2204 0021;	2204
2205 0021;	2205
2206 0021;	2206
2207 0021;	2207
1D6C1 0021;	1D6C1
1D6FB 0021;	1D6FB
1D735 0021;	1D735
1D76F 0021;	1D76F
1D7A9 0021;	1D7A9
2208 0338 0334;	2208 0338
2209 0334;	2209
2208 0021;	2208
2209 0021;	2209
220A 0021;	220A
220B 0338 0334;	220B 0338
220C 0334;	220C
220B 0021;	220B
220C 0021;	220C
220D 0021;	220D
220E 0021;	220E
220F 0021;	220F
2210 0021;	2210
2211 0021;	2211
002B 0021;	002B
207A 0021;	207A
208A 0021;	208A
FB29 0021;	FB29
FE62 0021;	FE62
FF0B 0021;	FF0B
00B1 0021;	00B1
00F7 0021;	00F7
00D7 0021;	00D7
003C 0338 0334;	003C 0338
226E 0334;	226E
003C 0021;	003C
226E 0021;	226E
FE64 0021;	FE64
FF1C 0021;	FF1C
003D 0338 0334;	003D 0338
2260 0334;	2260
003D 0021;	003D
207C 0021;	207C
208C 0021;	208C
2260 0021;	2260
FE66 0021;	FE66
FF1D 0021;	FF1D
003E 0338 0334;	003E 0338
226F 0334;	226F
003E 0021;	003E
226F 0021;	226F
FE65 0021;	FE65
FF1E 0021;	FF1E
00AC 0021;	00AC
FFE2 0021;	FFE2
007C 0021;	007C
FF5C 0021;	FF5C
00A6 0021;	00A6
FFE4 0021;	FFE4
2016 0021;	2016
007E 0021;	007E
FF5E 0021;	FF5E
207B 0021;	207B
208B 0021;	208B
2212 0021;	2212
2213 0021;	2213
2214 0021;	2214
2215 0021;	2215
2216 0021;	2216
2217 0021;	2217
2218 0021;	2218
2219 0021;	2219
221A 0021;	221A
221B 0021;	221B
221C 0021;	221C
221D 0021;	221D
221E 0021;	221E
221F 0021;	221F
2220 0021;	2220
2221 0021;	2221
2222 0021;	2222
2223 0338 0334;	2223 0338
2224 0334;	2224
2223 0021;	2223
2224 0021;	2224
2225 0338 0334;	2225 0338
2226 0334;	2226
2225 0021;	2225
2226 0021;	2226
2227 0021;	2227
2228 0021;	2228
2229 0021;	2229
222A 0021;	222A
222B 0021;	222B
222C 0021;	222C
222D 0021;	222D
222E 0021;	222E
222F 0021;	222F
2230 0021;	2230
2231 0021;	2231
2232 0021;	2232
2233 0021;	2233
2234 0021;	2234
2235 0021;	2235
2236 0021;	2236
2237 0021;	2237
2238 0021;	2238
2239 0021;	2239
223A 0021;	223A
223B 0021;	223B
223C 0338 0334;	223C 0338
2241 0334;	2241
223C 0021;	223C
2241 0021;	2241
223D 0021;	223D
223E 0021;	223E
223F 0021;	223F
2240 0021;	2240
2242 0021;	2242
2243 0338 0334;	2243 0338
2244 0334;	2244
2243 0021;	2243
2244 0021;	2244
2245 0338 0334;	2245 0338
2247 0334;	2247
2245 0021;	2245
2247 0021;	2247
2246 0021;	2246
2248 0338 0334;	2248 0338
2249 0334;	2249
2248 0021;	2248
2249 0021;	2249
224A 0021;	224A
224B 0021;	224B
224C 0021;	224C
224D 0338 0334;	224D 0338
226D 0334;	226D
224D 0021;	224D
226D 0021;	226D
224E 0021;	224E
224F 0021;	224F
2250 0021;	2250
2251 0021;	2251
2252 0021;	2252
2253 0021;	2253
2254 0021;	2254
2255 0021;	2255
2256 0021;	2256
2257 0021;	2257
2258 0021;	2258
2259 0021;	2259
225A 0021;	225A
225B 0021;	225B
225C 0021;	225C
225D 0021;	225D
225E 0021;	225E
225F 0021;	225F
2261 0338 0334;	2261 0338
2262 0334;	2262
2261 0021;	2261
2262 0021;	2262
2263 0021;	2263
2264 0338 0334;	2264 0338
2270 0334;	2270
2264 0021;	2264
2270 0021;	2270
2265 0338 0334;	2265 0338
2271 0334;	2271
2265 0021;	2265
2271 0021;	2271
2266 0021;	2266
2267 0021;	2267
2268 0021;	2268
2269 0021;	2269
226A 0021;	226A
226B 0021;	226B
226C 0021;	226C
2272 0338 0334;	2272 0338
2274 0334;	2274
2272 0021;	2272
2274 0021;	2274
2273 0338 0334;	2273 0338
2275 0334;	2275
2273 0021;	2273
2275 0021;	2275
2276 0338 0334;	2276 0338
2278 0334;	2278
2276 0021;	2276
2278 0021;	2278
2277 0338 0334;	2277 0338
2279 0334;	2279
2277 0021;	2277
2279 0021;	2279
227A 0338 0334;	227A 0338
2280 0334;	2280
227A 0021;	227A
2280 0021;	2280
227B 0338 0334;	227B 0338
2281 0334;	2281
