# Original file:
# IdnaMappingTable-5.2.0.txt- DRAFT
# Date: 2010-03-31 20:48:03 GMT [MD]
#
# Unicode IDNA Compatible Preprocessing (UTS #46)
# Copyright (c) 1991-2009 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr46/

# ================================================
# This file has been reformatted into syntax for the
# gennorm2 Normalizer2 data generator tool.
# Reformatting via regular expressions:
#   s/; disallowed   />FFFD/
#   s/; ignored      />/
#   s/^([^;]+)  ; valid/# \1valid/
#   s/; mapped     ; />/
#   s/^([^;]+)  ; deviation/# \1deviation/
#   s/   +(\#  [^\#]+)$/  \1/
#
# Except: Disallowed ASCII characters are passed through;
# they are handled in code.
# Deviation characters are also handled in code.
#
# A circular mapping FFFD>FFFD is avoided by rewriting the line that contains
# ..FFFD to contain ..FFFC instead.
#
# Use this file as the second gennorm2 input file after nfc.txt.
# ================================================

# 0000..002C (allow ASCII)  #  <control-0000>..COMMA
# 002D..002E  valid  #  HYPHEN-MINUS..FULL STOP
# 002F       (allow ASCII)  #  SOLIDUS
# 0030..0039  valid  #  DIGIT ZERO..DIGIT NINE
# 003A..0040 (allow ASCII)  #  COLON..COMMERCIAL AT
0059          >0079  #  LATIN CAPITAL LETTER Y
005A          >007A  #  LATIN CAPITAL LETTER Z
# 005B..0060 (allow ASCII)  #  LEFT SQUARE BRACKET..GRAVE ACCENT
# 0061..007A  valid  #  LATIN SMALL LETTER A..LATIN SMALL LETTER Z
0080..00A0    >FFFD  # (allow ASCII)  LEFT CURLY BRACKET..NO-BREAK SPACE
# 00A1..00A7  valid  #  INVERTED EXCLAMATION MARK..SECTION SIGN
00A8          >FFFD  #  DIAERESIS
# 00A9        valid  #  COPYRIGHT SIGN
00AA          >0061  #  FEMININE ORDINAL INDICATOR
# 00AB..00AC  valid  #  LEFT-POINTING DOUBLE ANGLE QUOTATION MARK..NOT SIGN
00AD          >  #  SOFT HYPHEN
# 00AE        valid  #  REGISTERED SIGN
00AF          >FFFD  #  MACRON
# 00B0..00B1  valid  #  DEGREE SIGN..PLUS-MINUS SIGN
00B2          >0032  #  SUPERSCRIPT TWO
00B3          >0033  #  SUPERSCRIPT THREE
00B4          >FFFD  #  ACUTE ACCENT
00B5          >03BC  #  MICRO SIGN
# 00B6..00B7  valid  #  PILCROW SIGN..MIDDLE DOT
00B8          >FFFD  #  CEDILLA
00B9          >0031  #  SUPERSCRIPT ONE
00BA          >006F  #  MASCULINE ORDINAL INDICATOR
# 00BB        valid  #  RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
00BC          >0031 2044 0034  #  VULGAR FRACTION ONE QUARTER
00BD          >0031 2044 0032  #  VULGAR FRACTION ONE HALF
00BE          >0033 2044 0034  #  VULGAR FRACTION THREE QUARTERS
# 00BF        valid  #  INVERTED QUESTION MARK
00C0          >00E0  #  LATIN CAPITAL LETTER A WITH GRAVE
00C1          >00E1  #  LATIN CAPITAL LETTER A WITH ACUTE
00C2          >00E2  #  LATIN CAPITAL LETTER A WITH CIRCUMFLEX
00C3          >00E3  #  LATIN CAPITAL LETTER A WITH TILDE
00C4          >00E4  #  LATIN CAPITAL LETTER A WITH DIAERESIS
00C5          >00E5  #  LATIN CAPITAL LETTER A WITH RING ABOVE
00C6          >00E6  #  LATIN CAPITAL LETTER AE
00C7          >00E7  #  LATIN CAPITAL LETTER C WITH CEDILLA
00C8          >00E8  #  LATIN CAPITAL LETTER E WITH GRAVE
00C9          >00E9  #  LATIN CAPITAL LETTER E WITH ACUTE
00CA          >00EA  #  LATIN CAPITAL LETTER E WITH CIRCUMFLEX
00CB          >00EB  #  LATIN CAPITAL LETTER E WITH DIAERESIS
00CC          >00EC  #  LATIN CAPITAL LETTER I WITH GRAVE
00CD          >00ED  #  LATIN CAPITAL LETTER I WITH ACUTE
00CE          >00EE  #  LATIN CAPITAL LETTER I WITH CIRCUMFLEX
00CF          >00EF  #  LATIN CAPITAL LETTER I WITH DIAERESIS
00D0          >00F0  #  LATIN CAPITAL LETTER ETH
00D1          >00F1  #  LATIN CAPITAL LETTER N WITH TILDE
00D2          >00F2  #  LATIN CAPITAL LETTER O WITH GRAVE
00D3          >00F3  #  LATIN CAPITAL LETTER O WITH ACUTE
00D4          >00F4  #  LATIN CAPITAL LETTER O WITH CIRCUMFLEX
00D5          >00F5  #  LATIN CAPITAL LETTER O WITH TILDE
00D6          >00F6  #  LATIN CAPITAL LETTER O WITH DIAERESIS
# 00D7        valid  #  MULTIPLICATION SIGN
00D8          >00F8  #  LATIN CAPITAL LETTER O WITH STROKE
00D9          >00F9  #  LATIN CAPITAL LETTER U WITH GRAVE
00DA          >00FA  #  LATIN CAPITAL LETTER U WITH ACUTE
00DB          >00FB  #  LATIN CAPITAL LETTER U WITH CIRCUMFLEX
00DC          >00FC  #  LATIN CAPITAL LETTER U WITH DIAERESIS
00DD          >00FD  #  LATIN CAPITAL LETTER Y WITH ACUTE
00DE          >00FE  #  LATIN CAPITAL LETTER THORN
# 00DF        deviation  ; 0073 0073  #  LATIN SMALL LETTER SHARP S
# 00E0..00FF  valid  #  LATIN SMALL LETTER A WITH GRAVE..LATIN SMALL LETTER Y WITH DIAERESIS
0100          >0101  #  LATIN CAPITAL LETTER A WITH MACRON
# 0101        valid  #  LATIN SMALL LETTER A WITH MACRON
0102          >0103  #  LATIN CAPITAL LETTER A WITH BREVE
# 0103        valid  #  LATIN SMALL LETTER A WITH BREVE
0104          >0105  #  LATIN CAPITAL LETTER A WITH OGONEK
# 0105        valid  #  LATIN SMALL LETTER A WITH OGONEK
0106          >0107  #  LATIN CAPITAL LETTER C WITH ACUTE
# 0107        valid  #  LATIN SMALL LETTER C WITH ACUTE
0108          >0109  #  LATIN CAPITAL LETTER C WITH CIRCUMFLEX
# 0109        valid  #  LATIN SMALL LETTER C WITH CIRCUMFLEX
010A          >010B  #  LATIN CAPITAL LETTER C WITH DOT ABOVE
# 010B        valid  #  LATIN SMALL LETTER C WITH DOT ABOVE
010C          >010D  #  LATIN CAPITAL LETTER C WITH CARON
# 010D        valid  #  LATIN SMALL LETTER C WITH CARON
010E          >010F  #  LATIN CAPITAL LETTER D WITH CARON
# 010F        valid  #  LATIN SMALL LETTER D WITH CARON
0110          >0111  #  LATIN CAPITAL LETTER D WITH STROKE
# 0111        valid  #  LATIN SMALL LETTER D WITH STROKE
0112          >0113  #  LATIN CAPITAL LETTER E WITH MACRON
# 0113        valid  #  LATIN SMALL LETTER E WITH MACRON
0114          >0115  #  LATIN CAPITAL LETTER E WITH BREVE
# 0115        valid  #  LATIN SMALL LETTER E WITH BREVE
0116          >0117  #  LATIN CAPITAL LETTER E WITH DOT ABOVE
# 0117        valid  #  LATIN SMALL LETTER E WITH DOT ABOVE
0118          >0119  #  LATIN CAPITAL LETTER E WITH OGONEK
# 0119        valid  #  LATIN SMALL LETTER E WITH OGONEK
011A          >011B  #  LATIN CAPITAL LETTER E WITH CARON
# 011B        valid  #  LATIN SMALL LETTER E WITH CARON
011C          >011D  #  LATIN CAPITAL LETTER G WITH CIRCUMFLEX
# 011D        valid  #  LATIN SMALL LETTER G WITH CIRCUMFLEX
011E          >011F  #  LATIN CAPITAL LETTER G WITH BREVE
# 011F        valid  #  LATIN SMALL LETTER G WITH BREVE
0120          >0121  #  LATIN CAPITAL LETTER G WITH DOT ABOVE
# 0121        valid  #  LATIN SMALL LETTER G WITH DOT ABOVE
0122          >0123  #  LATIN CAPITAL LETTER G WITH CEDILLA
# 0123        valid  #  LATIN SMALL LETTER G WITH CEDILLA
0124          >0125  #  LATIN CAPITAL LETTER H WITH CIRCUMFLEX
# 0125        valid  #  LATIN SMALL LETTER H WITH CIRCUMFLEX
0126          >0127  #  LATIN CAPITAL LETTER H WITH STROKE
# 0127        valid  #  LATIN SMALL LETTER H WITH STROKE
0128          >0129  #  LATIN CAPITAL LETTER I WITH TILDE
# 0129        valid  #  LATIN SMALL LETTER I WITH TILDE
012A          >012B  #  LATIN CAPITAL LETTER I WITH MACRON
# 012B        valid  #  LATIN SMALL LETTER I WITH MACRON
012C          >012D  #  LATIN CAPITAL LETTER I WITH BREVE
# 012D        valid  #  LATIN SMALL LETTER I WITH BREVE
012E          >012F  #  LATIN CAPITAL LETTER I WITH OGONEK
# 012F        valid  #  LATIN SMALL LETTER I WITH OGONEK
0130          >0069 0307  #  LATIN CAPITAL LETTER I WITH DOT ABOVE
# 0131        valid  #  LATIN SMALL LETTER DOTLESS I
0132..0133    >0069 006A  #  LATIN CAPITAL LIGATURE IJ..LATIN SMALL LIGATURE IJ
0134          >0135  #  LATIN CAPITAL LETTER J WITH CIRCUMFLEX
# 0135        valid  #  LATIN SMALL LETTER J WITH CIRCUMFLEX
0136          >0137  #  LATIN CAPITAL LETTER K WITH CEDILLA
# 0137..0138  valid  #  LATIN SMALL LETTER K WITH CEDILLA..LATIN SMALL LETTER KRA
0139          >013A  #  LATIN CAPITAL LETTER L WITH ACUTE
# 013A        valid  #  LATIN SMALL LETTER L WITH ACUTE
013B          >013C  #  LATIN CAPITAL LETTER L WITH CEDILLA
# 013C        valid  #  LATIN SMALL LETTER L WITH CEDILLA
013D          >013E  #  LATIN CAPITAL LETTER L WITH CARON
# 013E        valid  #  LATIN SMALL LETTER L WITH CARON
013F..0140    >006C 00B7  #  LATIN CAPITAL LETTER L WITH MIDDLE DOT..LATIN SMALL LETTER L WITH MIDDLE DOT
0141          >0142  #  LATIN CAPITAL LETTER L WITH STROKE
# 0142        valid  #  LATIN SMALL LETTER L WITH STROKE
0143          >0144  #  LATIN CAPITAL LETTER N WITH ACUTE
# 0144        valid  #  LATIN SMALL LETTER N WITH ACUTE
0145          >0146  #  LATIN CAPITAL LETTER N WITH CEDILLA
# 0146        valid  #  LATIN SMALL LETTER N WITH CEDILLA
0147          >0148  #  LATIN CAPITAL LETTER N WITH CARON
# 0148        valid  #  LATIN SMALL LETTER N WITH CARON
0149          >02BC 006E  #  LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
014A          >014B  #  LATIN CAPITAL LETTER ENG
# 014B        valid  #  LATIN SMALL LETTER ENG
014C          >014D  #  LATIN CAPITAL LETTER O WITH MACRON
# 014D        valid  #  LATIN SMALL LETTER O WITH MACRON
014E          >014F  #  LATIN CAPITAL LETTER O WITH BREVE
# 014F        valid  #  LATIN SMALL LETTER O WITH BREVE
0150          >0151  #  LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
# 0151        valid  #  LATIN SMALL LETTER O WITH DOUBLE ACUTE
0152          >0153  #  LATIN CAPITAL LIGATURE OE
# 0153        valid  #  LATIN SMALL LIGATURE OE
0154          >0155  #  LATIN CAPITAL LETTER R WITH ACUTE
# 0155        valid  #  LATIN SMALL LETTER R WITH ACUTE
0156          >0157  #  LATIN CAPITAL LETTER R WITH CEDILLA
# 0157        valid  #  LATIN SMALL LETTER R WITH CEDILLA
0158          >0159  #  LATIN CAPITAL LETTER R WITH CARON
# 0159        valid  #  LATIN SMALL LETTER R WITH CARON
015A          >015B  #  LATIN CAPITAL LETTER S WITH ACUTE
# 015B        valid  #  LATIN SMALL LETTER S WITH ACUTE
015C          >015D  #  LATIN CAPITAL LETTER S WITH CIRCUMFLEX
# 015D        valid  #  LATIN SMALL LETTER S WITH CIRCUMFLEX
015E          >015F  #  LATIN CAPITAL LETTER S WITH CEDILLA
# 015F        valid  #  LATIN SMALL LETTER S WITH CEDILLA
0160          >0161  #  LATIN CAPITAL LETTER S WITH CARON
# 0161        valid  #  LATIN SMALL LETTER S WITH CARON
0162          >0163  #  LATIN CAPITAL LETTER T WITH CEDILLA
# 0163        valid  #  LATIN SMALL LETTER T WITH CEDILLA
0164          >0165  #  LATIN CAPITAL LETTER T WITH CARON
# 0165        valid  #  LATIN SMALL LETTER T WITH CARON
0166          >0167  #  LATIN CAPITAL LETTER T WITH STROKE
# 0167        valid  #  LATIN SMALL LETTER T WITH STROKE
0168          >0169  #  LATIN CAPITAL LETTER U WITH TILDE
# 0169        valid  #  LATIN SMALL LETTER U WITH TILDE
016A          >016B  #  LATIN CAPITAL LETTER U WITH MACRON
# 016B        valid  #  LATIN SMALL LETTER U WITH MACRON
016C          >016D  #  LATIN CAPITAL LETTER U WITH BREVE
# 016D        valid  #  LATIN SMALL LETTER U WITH BREVE
016E          >016F  #  LATIN CAPITAL LETTER U WITH RING ABOVE
# 016F        valid  #  LATIN SMALL LETTER U WITH RING ABOVE
0170          >0171  #  LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
# 0171        valid  #  LATIN SMALL LETTER U WITH DOUBLE ACUTE
0172          >0173  #  LATIN CAPITAL LETTER U WITH OGONEK
# 0173        valid  #  LATIN SMALL LETTER U WITH OGONEK
0174          >0175  #  LATIN CAPITAL LETTER W WITH CIRCUMFLEX
# 0175        valid  #  LATIN SMALL LETTER W WITH CIRCUMFLEX
0176          >0177  #  LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
# 0177        valid  #  LATIN SMALL LETTER Y WITH CIRCUMFLEX
0178          >00FF  #  LATIN CAPITAL LETTER Y WITH DIAERESIS
0179          >017A  #  LATIN CAPITAL LETTER Z WITH ACUTE
# 017A        valid  #  LATIN SMALL LETTER Z WITH ACUTE
017B          >017C  #  LATIN CAPITAL LETTER Z WITH DOT ABOVE
# 017C        valid  #  LATIN SMALL LETTER Z WITH DOT ABOVE
017D          >017E  #  LATIN CAPITAL LETTER Z WITH CARON
# 017E        valid  #  LATIN SMALL LETTER Z WITH CARON
017F          >0073  #  LATIN SMALL LETTER LONG S
# 0180        valid  #  LATIN SMALL LETTER B WITH STROKE
0181          >0253  #  LATIN CAPITAL LETTER B WITH HOOK
0182          >0183  #  LATIN CAPITAL LETTER B WITH TOPBAR
# 0183        valid  #  LATIN SMALL LETTER B WITH TOPBAR
0184          >0185  #  LATIN CAPITAL LETTER TONE SIX
# 0185        valid  #  LATIN SMALL LETTER TONE SIX
0186          >0254  #  LATIN CAPITAL LETTER OPEN O
0187          >0188  #  LATIN CAPITAL LETTER C WITH HOOK
# 0188        valid  #  LATIN SMALL LETTER C WITH HOOK
0189          >0256  #  LATIN CAPITAL LETTER AFRICAN D
018A          >0257  #  LATIN CAPITAL LETTER D WITH HOOK
018B          >018C  #  LATIN CAPITAL LETTER D WITH TOPBAR
# 018C..018D  valid  #  LATIN SMALL LETTER D WITH TOPBAR..LATIN SMALL LETTER TURNED DELTA
018E          >01DD  #  LATIN CAPITAL LETTER REVERSED E
018F          >0259  #  LATIN CAPITAL LETTER SCHWA
0190          >025B  #  LATIN CAPITAL LETTER OPEN E
0191          >0192  #  LATIN CAPITAL LETTER F WITH HOOK
# 0192        valid  #  LATIN SMALL LETTER F WITH HOOK
0193          >0260  #  LATIN CAPITAL LETTER G WITH HOOK
0194          >0263  #  LATIN CAPITAL LETTER GAMMA
# 0195        valid  #  LATIN SMALL LETTER HV
0196          >0269  #  LATIN CAPITAL LETTER IOTA
0197          >0268  #  LATIN CAPITAL LETTER I WITH STROKE
0198          >0199  #  LATIN CAPITAL LETTER K WITH HOOK
# 0199..019B  valid  #  LATIN SMALL LETTER K WITH HOOK..LATIN SMALL LETTER LAMBDA WITH STROKE
019C          >026F  #  LATIN CAPITAL LETTER TURNED M
019D          >0272  #  LATIN CAPITAL LETTER N WITH LEFT HOOK
# 019E        valid  #  LATIN SMALL LETTER N WITH LONG RIGHT LEG
019F          >0275  #  LATIN CAPITAL LETTER O WITH MIDDLE TILDE
01A0          >01A1  #  LATIN CAPITAL LETTER O WITH HORN
# 01A1        valid  #  LATIN SMALL LETTER O WITH HORN
01A2          >01A3  #  LATIN CAPITAL LETTER OI
# 01A3        valid  #  LATIN SMALL LETTER OI
01A4          >01A5  #  LATIN CAPITAL LETTER P WITH HOOK
# 01A5        valid  #  LATIN SMALL LETTER P WITH HOOK
01A6          >0280  #  LATIN LETTER YR
01A7          >01A8  #  LATIN CAPITAL LETTER TONE TWO
# 01A8        valid  #  LATIN SMALL LETTER TONE TWO
01A9          >0283  #  LATIN CAPITAL LETTER ESH
# 01AA..01AB  valid  #  LATIN LETTER REVERSED ESH LOOP..LATIN SMALL LETTER T WITH PALATAL HOOK
01AC          >01AD  #  LATIN CAPITAL LETTER T WITH HOOK
# 01AD        valid  #  LATIN SMALL LETTER T WITH HOOK
01AE          >0288  #  LATIN CAPITAL LETTER T WITH RETROFLEX HOOK
01AF          >01B0  #  LATIN CAPITAL LETTER U WITH HORN
# 01B0        valid  #  LATIN SMALL LETTER U WITH HORN
01B1          >028A  #  LATIN CAPITAL LETTER UPSILON
01B2          >028B  #  LATIN CAPITAL LETTER V WITH HOOK
01B3          >01B4  #  LATIN CAPITAL LETTER Y WITH HOOK
# 01B4        valid  #  LATIN SMALL LETTER Y WITH HOOK
01B5          >01B6  #  LATIN CAPITAL LETTER Z WITH STROKE
# 01B6        valid  #  LATIN SMALL LETTER Z WITH STROKE
01B7          >0292  #  LATIN CAPITAL LETTER EZH
01B8          >01B9  #  LATIN CAPITAL LETTER EZH REVERSED
# 01B9..01BB  valid  #  LATIN SMALL LETTER EZH REVERSED..LATIN LETTER TWO WITH STROKE
01BC          >01BD  #  LATIN CAPITAL LETTER TONE FIVE
# 01BD..01C3  valid  #  LATIN SMALL LETTER TONE FIVE..LATIN LETTER RETROFLEX CLICK
01C4..01C6    >0064 017E  #  LATIN CAPITAL LETTER DZ WITH CARON..LATIN SMALL LETTER DZ WITH CARON
01C7..01C9    >006C 006A  #  LATIN CAPITAL LETTER LJ..LATIN SMALL LETTER LJ
01CA..01CC    >006E 006A  #  LATIN CAPITAL LETTER NJ..LATIN SMALL LETTER NJ
01CD          >01CE  #  LATIN CAPITAL LETTER A WITH CARON
# 01CE        valid  #  LATIN SMALL LETTER A WITH CARON
01CF          >01D0  #  LATIN CAPITAL LETTER I WITH CARON
# 01D0        valid  #  LATIN SMALL LETTER I WITH CARON
01D1          >01D2  #  LATIN CAPITAL LETTER O WITH CARON
# 01D2        valid  #  LATIN SMALL LETTER O WITH CARON
01D3          >01D4  #  LATIN CAPITAL LETTER U WITH CARON
# 01D4        valid  #  LATIN SMALL LETTER U WITH CARON
01D5          >01D6  #  LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
# 01D6        valid  #  LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
01D7          >01D8  #  LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE
# 01D8        valid  #  LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE
01D9          >01DA  #  LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
# 01DA        valid  #  LATIN SMALL LETTER U WITH DIAERESIS AND CARON
01DB          >01DC  #  LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE
# 01DC..01DD  valid  #  LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE..LATIN SMALL LETTER TURNED E
01DE          >01DF  #  LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
# 01DF        valid  #  LATIN SMALL LETTER A WITH DIAERESIS AND MACRON
01E0          >01E1  #  LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON
# 01E1        valid  #  LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON
01E2          >01E3  #  LATIN CAPITAL LETTER AE WITH MACRON
# 01E3        valid  #  LATIN SMALL LETTER AE WITH MACRON
01E4          >01E5  #  LATIN CAPITAL LETTER G WITH STROKE
# 01E5        valid  #  LATIN SMALL LETTER G WITH STROKE
01E6          >01E7  #  LATIN CAPITAL LETTER G WITH CARON
# 01E7        valid  #  LATIN SMALL LETTER G WITH CARON
01E8          >01E9  #  LATIN CAPITAL LETTER K WITH CARON
# 01E9        valid  #  LATIN SMALL LETTER K WITH CARON
01EA          >01EB  #  LATIN CAPITAL LETTER O WITH OGONEK
# 01EB        valid  #  LATIN SMALL LETTER O WITH OGONEK
01EC          >01ED  #  LATIN CAPITAL LETTER O WITH OGONEK AND MACRON
# 01ED        valid  #  LATIN SMALL LETTER O WITH OGONEK AND MACRON
01EE          >01EF  #  LATIN CAPITAL LETTER EZH WITH CARON
# 01EF..01F0  valid  #  LATIN SMALL LETTER EZH WITH CARON..LATIN SMALL LETTER J WITH CARON
01F1..01F3    >0064 007A  #  LATIN CAPITAL LETTER DZ..LATIN SMALL LETTER DZ
01F4          >01F5  #  LATIN CAPITAL LETTER G WITH ACUTE
# 01F5        valid  #  LATIN SMALL LETTER G WITH ACUTE
01F6          >0195  #  LATIN CAPITAL LETTER HWAIR
01F7          >01BF  #  LATIN CAPITAL LETTER WYNN
01F8          >01F9  #  LATIN CAPITAL LETTER N WITH GRAVE
# 01F9        valid  #  LATIN SMALL LETTER N WITH GRAVE
01FA          >01FB  #  LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE
# 01FB        valid  #  LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE
01FC          >01FD  #  LATIN CAPITAL LETTER AE WITH ACUTE
# 01FD        valid  #  LATIN SMALL LETTER AE WITH ACUTE
01FE          >01FF  #  LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
# 01FF        valid  #  LATIN SMALL LETTER O WITH STROKE AND ACUTE
0200          >0201  #  LATIN CAPITAL LETTER A WITH DOUBLE GRAVE
# 0201        valid  #  LATIN SMALL LETTER A WITH DOUBLE GRAVE
0202          >0203  #  LATIN CAPITAL LETTER A WITH INVERTED BREVE
# 0203        valid  #  LATIN SMALL LETTER A WITH INVERTED BREVE
0204          >0205  #  LATIN CAPITAL LETTER E WITH DOUBLE GRAVE
# 0205        valid  #  LATIN SMALL LETTER E WITH DOUBLE GRAVE
0206          >0207  #  LATIN CAPITAL LETTER E WITH INVERTED BREVE
# 0207        valid  #  LATIN SMALL LETTER E WITH INVERTED BREVE
0208          >0209  #  LATIN CAPITAL LETTER I WITH DOUBLE GRAVE
# 0209        valid  #  LATIN SMALL LETTER I WITH DOUBLE GRAVE
020A          >020B  #  LATIN CAPITAL LETTER I WITH INVERTED BREVE
# 020B        valid  #  LATIN SMALL LETTER I WITH INVERTED BREVE
020C          >020D  #  LATIN CAPITAL LETTER O WITH DOUBLE GRAVE
# 020D        valid  #  LATIN SMALL LETTER O WITH DOUBLE GRAVE
020E          >020F  #  LATIN CAPITAL LETTER O WITH INVERTED BREVE
# 020F        valid  #  LATIN SMALL LETTER O WITH INVERTED BREVE
0210          >0211  #  LATIN CAPITAL LETTER R WITH DOUBLE GRAVE
# 0211        valid  #  LATIN SMALL LETTER R WITH DOUBLE GRAVE
0212          >0213  #  LATIN CAPITAL LETTER R WITH INVERTED BREVE
# 0213        valid  #  LATIN SMALL LETTER R WITH INVERTED BREVE
0214          >0215  #  LATIN CAPITAL LETTER U WITH DOUBLE GRAVE
# 0215        valid  #  LATIN SMALL LETTER U WITH DOUBLE GRAVE
0216          >0217  #  LATIN CAPITAL LETTER U WITH INVERTED BREVE
# 0217        valid  #  LATIN SMALL LETTER U WITH INVERTED BREVE
0218          >0219  #  LATIN CAPITAL LETTER S WITH COMMA BELOW
# 0219        valid  #  LATIN SMALL LETTER S WITH COMMA BELOW
021A          >021B  #  LATIN CAPITAL LETTER T WITH COMMA BELOW
# 021B        valid  #  LATIN SMALL LETTER T WITH COMMA BELOW
021C          >021D  #  LATIN CAPITAL LETTER YOGH
# 021D        valid  #  LATIN SMALL LETTER YOGH
021E          >021F  #  LATIN CAPITAL LETTER H WITH CARON
# 021F        valid  #  LATIN SMALL LETTER H WITH CARON
0220          >019E  #  LATIN CAPITAL LETTER N WITH LONG RIGHT LEG
# 0221        valid  #  LATIN SMALL LETTER D WITH CURL
0222          >0223  #  LATIN CAPITAL LETTER OU
# 0223        valid  #  LATIN SMALL LETTER OU
0224          >0225  #  LATIN CAPITAL LETTER Z WITH HOOK
# 0225        valid  #  LATIN SMALL LETTER Z WITH HOOK
0226          >0227  #  LATIN CAPITAL LETTER A WITH DOT ABOVE
# 0227        valid  #  LATIN SMALL LETTER A WITH DOT ABOVE
0228          >0229  #  LATIN CAPITAL LETTER E WITH CEDILLA
# 0229        valid  #  LATIN SMALL LETTER E WITH CEDILLA
022A          >022B  #  LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON
# 022B        valid  #  LATIN SMALL LETTER O WITH DIAERESIS AND MACRON
022C          >022D  #  LATIN CAPITAL LETTER O WITH TILDE AND MACRON
# 022D        valid  #  LATIN SMALL LETTER O WITH TILDE AND MACRON
022E          >022F  #  LATIN CAPITAL LETTER O WITH DOT ABOVE
# 022F        valid  #  LATIN SMALL LETTER O WITH DOT ABOVE
0230          >0231  #  LATIN CAPITAL LETTER O WITH DOT ABOVE AND MACRON
# 0231        valid  #  LATIN SMALL LETTER O WITH DOT ABOVE AND MACRON
0232          >0233  #  LATIN CAPITAL LETTER Y WITH MACRON
# 0233..0239  valid  #  LATIN SMALL LETTER Y WITH MACRON..LATIN SMALL LETTER QP DIGRAPH
023A          >2C65  #  LATIN CAPITAL LETTER A WITH STROKE
023B          >023C  #  LATIN CAPITAL LETTER C WITH STROKE
# 023C        valid  #  LATIN SMALL LETTER C WITH STROKE
023D          >019A  #  LATIN CAPITAL LETTER L WITH BAR
023E          >2C66  #  LATIN CAPITAL LETTER T WITH DIAGONAL STROKE
